id,first_name,last_name,gender,phone_number,address,birthdate,blood_type,favorite_color,credit_score
0,Jeffery,Hernandez,['M'],+81 - 9519266153,"{'street_address': '95970 Shelton Park', 'city': 'West Caleb', 'state': 'Nebraska', 'zipcode': '27948'}",1996-10-21,A-,PaleGreen,622
1,Christine,Carter,['M'],+1 - 3122887570,"{'street_address': '43716 Brian Glen', 'city': 'Juanborough', 'state': 'Tennessee', 'zipcode': '46164'}",1970-05-30,B+,Snow,649
2,Tina,Archer,['M'],+86 - 9703656592,"{'street_address': '030 Perez Burg', 'city': 'Scottmouth', 'state': 'Wyoming', 'zipcode': '18661'}",1967-07-11,B+,SeaShell,328
3,Robert,Baker,['F'],+44 - 8193626775,"{'street_address': '787 Johnston Avenue Suite 302', 'city': 'North Mark', 'state': 'Oregon', 'zipcode': '28536'}",1948-03-27,B+,Violet,812
4,Christopher,Reid,['M'],+1 - 3998496705,"{'street_address': '094 Cain Trace Apt. 122', 'city': 'East Whitney', 'state': 'Wisconsin', 'zipcode': '38916'}",1979-12-11,O-,BlanchedAlmond,316
5,Robert,Berry,['F'],+44 - 1417600323,"{'street_address': '610 Heidi Glens Apt. 144', 'city': 'Port Amber', 'state': 'Louisiana', 'zipcode': '51241'}",1979-03-08,AB+,PaleGreen,668
6,Gregory,Church,['M'],+91 - 2862307539,"{'street_address': '26120 Wendy Courts Suite 653', 'city': 'East Gerald', 'state': 'New Hampshire', 'zipcode': '27456'}",1973-03-16,A-,DarkKhaki,415
7,Jared,White,['F'],+44 - 3325587380,"{'street_address': '00940 Jenkins Motorway Suite 184', 'city': 'Tinaview', 'state': 'South Carolina', 'zipcode': '10508'}",1957-04-22,O-,Brown,601
8,Carl,Hamilton,['M'],+81 - 1920131880,"{'street_address': '4549 Kendra Manor', 'city': 'Orrhaven', 'state': 'Hawaii', 'zipcode': '90237'}",1996-11-28,AB+,PaleVioletRed,835
9,Ashley,Cunningham,['M'],+91 - 2272491376,"{'street_address': '4299 Michelle Creek Suite 039', 'city': 'West Richard', 'state': 'Hawaii', 'zipcode': '40648'}",1951-02-10,AB+,GhostWhite,595
10,Heather,Joseph,['M'],+1 - 3192111488,"{'street_address': '1744 Kimberly Creek Apt. 314', 'city': 'Port Douglasside', 'state': 'New Hampshire', 'zipcode': '58013'}",1984-02-16,AB+,HoneyDew,820
11,Paul,Mccoy,['M'],+1 - 7801981299,"{'street_address': '181 Bailey Rapid Apt. 791', 'city': 'New Jennifer', 'state': 'Mississippi', 'zipcode': '64406'}",1961-12-04,B-,DarkKhaki,776
12,Lori,Short,['F'],+44 - 9377782546,"{'street_address': '2445 Ramirez Village', 'city': 'Hesterbury', 'state': 'Arkansas', 'zipcode': '11931'}",1952-05-10,O-,Crimson,800
13,Ariel,Figueroa,['F'],+91 - 6607982757,"{'street_address': '6382 Kaiser Run', 'city': 'West Cynthia', 'state': 'Minnesota', 'zipcode': '63785'}",1986-02-28,A-,DimGray,844
14,Benjamin,Potts,['F'],+1 - 3617149073,"{'street_address': '4413 John Run Apt. 288', 'city': 'East Mark', 'state': 'Kentucky', 'zipcode': '72078'}",1944-11-24,O-,DarkGray,663
15,Nicholas,Mullins,['M'],+81 - 9138941284,"{'street_address': '031 Lee Streets Suite 667', 'city': 'North Richard', 'state': 'Wisconsin', 'zipcode': '39595'}",1945-01-06,B+,GreenYellow,375
16,Alicia,Rodriguez,['F'],+91 - 7880359573,"{'street_address': '389 Gordon Manor', 'city': 'Millerbury', 'state': 'New Mexico', 'zipcode': '93502'}",1959-02-05,AB-,PowderBlue,628
17,Thomas,Glover,['F'],+44 - 5210897956,"{'street_address': '96245 Kim Camp Apt. 408', 'city': 'New Ruth', 'state': 'Ohio', 'zipcode': '34784'}",1998-08-21,AB+,Chocolate,371
18,Nathan,Carroll,['F'],+86 - 0473437809,"{'street_address': '12838 Boyd Island Apt. 896', 'city': 'Jeffersonshire', 'state': 'Connecticut', 'zipcode': '44156'}",1974-04-19,O-,Olive,641
19,Nathan,Martin,['F'],+86 - 1724030226,"{'street_address': '22238 Sandra Harbor Suite 995', 'city': 'Ramirezhaven', 'state': 'Tennessee', 'zipcode': '38360'}",2005-07-25,O-,WhiteSmoke,659
20,Jake,Jones,['F'],+81 - 9994601286,"{'street_address': '519 Terrell Knoll Apt. 778', 'city': 'Buckborough', 'state': 'Idaho', 'zipcode': '10101'}",1998-01-23,A-,MidnightBlue,828
21,Norman,Payne,['M'],+91 - 2816116071,"{'street_address': '92974 Gray Summit Apt. 094', 'city': 'East Samantha', 'state': 'Maine', 'zipcode': '15408'}",1991-06-24,AB-,DarkTurquoise,532
22,Rebecca,Anderson,['F'],+81 - 7466404863,"{'street_address': '397 Mia Mills', 'city': 'Susanview', 'state': 'Connecticut', 'zipcode': '41455'}",1979-09-29,B-,Tomato,694
23,Thomas,Knapp,['M'],+91 - 5503314732,"{'street_address': '79758 Banks Shores', 'city': 'Nicoleton', 'state': 'West Virginia', 'zipcode': '31966'}",1984-12-16,O+,DarkSlateGray,743
24,Elizabeth,Melendez,['F'],+91 - 8310493026,"{'street_address': '1172 Wesley Hills Suite 683', 'city': 'Ritamouth', 'state': 'Alabama', 'zipcode': '36325'}",1959-11-22,O+,LightGoldenRodYellow,572
25,Michelle,Escobar,['F'],+1 - 3150463303,"{'street_address': '9532 Huffman Place', 'city': 'New Hannahbury', 'state': 'New Mexico', 'zipcode': '67841'}",1987-10-16,A+,Orange,372
26,Ryan,Calhoun,['F'],+44 - 1488823125,"{'street_address': '681 Page Stream Suite 776', 'city': 'Port Georgeshire', 'state': 'Connecticut', 'zipcode': '22428'}",1992-02-23,AB-,IndianRed,424
27,Andre,Rosario,['M'],+44 - 3461054871,"{'street_address': '6838 Anderson Flat Apt. 236', 'city': 'South Scottchester', 'state': 'Georgia', 'zipcode': '53763'}",1969-10-13,A-,LawnGreen,785
28,Devin,Thompson,['M'],+1 - 1166014728,"{'street_address': '97692 Todd Inlet', 'city': 'Lake Stephanieland', 'state': 'Massachusetts', 'zipcode': '75629'}",1998-05-28,AB-,FloralWhite,504
29,Amy,Robinson,['F'],+86 - 6028729330,"{'street_address': '0112 Huang Heights Apt. 091', 'city': 'Mclaughlinborough', 'state': 'Ohio', 'zipcode': '45499'}",1966-07-24,AB+,MediumSlateBlue,826
30,Jennifer,Skinner,['F'],+81 - 5670537196,"{'street_address': '095 Walker Key Suite 149', 'city': 'Juliaville', 'state': 'New Hampshire', 'zipcode': '47842'}",1963-04-06,O+,Lime,655
31,Stephen,Ford,['F'],+91 - 3466594267,"{'street_address': '158 Jeffrey Ridge Apt. 901', 'city': 'Port Shanemouth', 'state': 'South Dakota', 'zipcode': '85185'}",1997-06-19,A+,Teal,754
32,Keith,Williams,['M'],+1 - 5114023591,"{'street_address': '9793 Walsh Turnpike', 'city': 'North Jennifer', 'state': 'Indiana', 'zipcode': '88740'}",1991-10-22,B-,DarkRed,415
33,Curtis,Gill,['F'],+44 - 1373241316,"{'street_address': '8194 Leblanc Club Suite 058', 'city': 'New Evanland', 'state': 'New Jersey', 'zipcode': '10537'}",1991-03-09,A-,LightYellow,467
34,John,Harper,['F'],+1 - 0636057718,"{'street_address': '1124 Michael Mill', 'city': 'Veronicaland', 'state': 'Pennsylvania', 'zipcode': '07932'}",1956-09-06,O+,Bisque,796
35,Janice,Wheeler,['M'],+86 - 2963701072,"{'street_address': '0124 Wang Radial Suite 859', 'city': 'Russellview', 'state': 'Vermont', 'zipcode': '79192'}",1982-11-15,B+,DarkCyan,785
36,Danny,Edwards,['M'],+91 - 9463632398,"{'street_address': '1595 Randy Falls', 'city': 'Port Jesse', 'state': 'West Virginia', 'zipcode': '90210'}",1998-05-26,O-,Orchid,539
37,Donald,Gibbs,['M'],+86 - 2109537573,"{'street_address': '0760 Miller Pass', 'city': 'Lewismouth', 'state': 'Texas', 'zipcode': '38796'}",1982-08-21,AB-,Coral,530
38,Sara,Cruz,['M'],+91 - 8148745493,"{'street_address': '1217 Mary Pike Apt. 532', 'city': 'Port Ashley', 'state': 'Louisiana', 'zipcode': '48368'}",1954-03-16,O-,FireBrick,669
39,Aaron,Lewis,['F'],+86 - 4971850558,"{'street_address': '14030 Connie Turnpike', 'city': 'Clarkland', 'state': 'Mississippi', 'zipcode': '48405'}",1955-10-06,AB-,DarkSeaGreen,646
40,Nicole,Hernandez,['F'],+44 - 4124419578,"{'street_address': '9189 Luis Mission Apt. 919', 'city': 'North Michelle', 'state': 'Oregon', 'zipcode': '43005'}",1992-07-09,O+,AliceBlue,589
41,Terri,Young,['F'],+1 - 4986263593,"{'street_address': '79119 Garcia Alley', 'city': 'East Michael', 'state': 'Missouri', 'zipcode': '80449'}",1955-10-25,O-,Thistle,431
42,Cassandra,Moore,['F'],+44 - 7454644774,"{'street_address': '518 Kathleen Spurs', 'city': 'South Karen', 'state': 'Maryland', 'zipcode': '38511'}",1946-09-10,B+,YellowGreen,457
43,Joseph,Bailey,['M'],+1 - 8740022649,"{'street_address': '2064 Tara Stravenue', 'city': 'Fowlerchester', 'state': 'California', 'zipcode': '29561'}",1964-02-02,O-,Orange,772
44,Gregory,Brown,['M'],+1 - 0671159720,"{'street_address': '86239 Mark Dale', 'city': 'Victoriaport', 'state': 'North Dakota', 'zipcode': '28299'}",1998-10-13,O+,MediumSlateBlue,641
45,Bryan,Macdonald,['M'],+91 - 3375920032,"{'street_address': '426 Jessica Rest Suite 585', 'city': 'East Edwinville', 'state': 'Illinois', 'zipcode': '05165'}",1962-01-19,AB-,DarkCyan,509
46,Amanda,Bailey,['F'],+44 - 8125006188,"{'street_address': '57309 Deanna Bypass Apt. 927', 'city': 'Valdezberg', 'state': 'Kentucky', 'zipcode': '65230'}",1966-04-29,B+,Thistle,592
47,Howard,Hernandez,['M'],+91 - 6994345373,"{'street_address': '1890 Myers Mountains', 'city': 'West Christinamouth', 'state': 'Nebraska', 'zipcode': '03752'}",1988-06-12,AB-,FireBrick,305
48,Jennifer,Stanley,['F'],+81 - 7702845703,"{'street_address': '1804 Kristopher Lodge', 'city': 'Lanefort', 'state': 'North Dakota', 'zipcode': '12822'}",1976-01-17,A+,Lavender,389
49,Timothy,Fernandez,['F'],+91 - 1651489896,"{'street_address': '53733 Destiny Branch', 'city': 'New John', 'state': 'Missouri', 'zipcode': '15194'}",1982-12-24,A+,Aqua,508
50,Ronald,Cherry,['F'],+91 - 6849445780,"{'street_address': '82116 Thomas Tunnel', 'city': 'Cannonville', 'state': 'Kansas', 'zipcode': '19788'}",1977-09-28,O-,PapayaWhip,531
51,Shelby,Frost,['M'],+86 - 9506153823,"{'street_address': '65262 Pena Trace Apt. 325', 'city': 'Kaiserhaven', 'state': 'Indiana', 'zipcode': '44115'}",1958-06-13,AB+,CornflowerBlue,430
52,Nicole,Morgan,['M'],+81 - 1789860422,"{'street_address': '3703 Parrish Parks', 'city': 'Johnfurt', 'state': 'Hawaii', 'zipcode': '31526'}",1981-04-28,AB+,PowderBlue,414
53,Samantha,Gonzalez,['F'],+81 - 6708558162,"{'street_address': '214 Charles Unions', 'city': 'Munozfurt', 'state': 'Colorado', 'zipcode': '23801'}",1952-08-10,A-,MintCream,651
54,Mark,Carroll,['M'],+81 - 0816145746,"{'street_address': '8029 Middleton Lakes Apt. 092', 'city': 'Robersonville', 'state': 'Wyoming', 'zipcode': '45636'}",1947-05-12,A+,Salmon,388
